# Icod.TermInfo standard capability catalog
#
# Canonical 0.8 source for the conventional ncurses/System V compatible
# standard compiled capability tables. BinaryIndex is per capability kind.
#
# Capability ordering/names/codes: ncurses include/Caps ABI tables,
# Caps revision 1.62 (2025-11-12); counts 44 bool / 39 num / 414 str.
# ManagedName preserves every public 0.7 enum identifier and supplies
# append-only identifiers for capabilities added in 0.8.
#
Kind	BinaryIndex	ShortName	LongName	TermcapCode	ManagedName
B	0	bw	auto_left_margin	bw	AutoLeftMargin
B	1	am	auto_right_margin	am	AutoRightMargin
B	2	xsb	no_esc_ctlc	xb	NoEscCtlc
B	3	xhp	ceol_standout_glitch	xs	CeolStandoutGlitch
B	4	xenl	eat_newline_glitch	xn	EatNewlineGlitch
B	5	eo	erase_overstrike	eo	EraseOverstrike
B	6	gn	generic_type	gn	GenericType
B	7	hc	hard_copy	hc	HardCopy
B	8	km	has_meta_key	km	HasMetaKey
B	9	hs	has_status_line	hs	HasStatusLine
B	10	in	insert_null_glitch	in	InsertNullGlitch
B	11	da	memory_above	da	MemoryAbove
B	12	db	memory_below	db	MemoryBelow
B	13	mir	move_insert_mode	mi	MoveInsertMode
B	14	msgr	move_standout_mode	ms	MoveStandoutMode
B	15	os	over_strike	os	OverStrike
B	16	eslok	status_line_esc_ok	es	StatusLineEscOk
B	17	xt	dest_tabs_magic_smso	xt	DestTabsMagicSmso
B	18	hz	tilde_glitch	hz	TildeGlitch
B	19	ul	transparent_underline	ul	TransparentUnderline
B	20	xon	xon_xoff	xo	XonXoff
B	21	nxon	needs_xon_xoff	nx	NeedsXonXoff
B	22	mc5i	prtr_silent	5i	PrtrSilent
B	23	chts	hard_cursor	HC	HardCursor
B	24	nrrmc	non_rev_rmcup	NR	NonRevRmcup
B	25	npc	no_pad_char	NP	NoPadCharacter
B	26	ndscr	non_dest_scroll_region	ND	NonDestScrollRegion
B	27	ccc	can_change	cc	CanChangeColor
B	28	bce	back_color_erase	ut	BackColorErase
B	29	hls	hue_lightness_saturation	hl	HueLightnessSaturation
B	30	xhpa	col_addr_glitch	YA	ColAddrGlitch
B	31	crxm	cr_cancels_micro_mode	YB	CrCancelsMicroMode
B	32	daisy	has_print_wheel	YC	HasPrintWheel
B	33	xvpa	row_addr_glitch	YD	RowAddrGlitch
B	34	sam	semi_auto_right_margin	YE	SemiAutoRightMargin
